3	4	Australian Conference on Artificial Intelligence	Australian Conference on Artificial Intelligence
7	8	FOGA	FOGA
7	9	FOGA	FOGA
7	10	FOGA	FOGA
7	11	FOGA	FOGA
7	12	FOGA	FOGA
7	13	FOGA	FOGA
7	14	FOGA	FOGA
7	15	FOGA	FOGA
8	9	FOGA	FOGA
8	10	FOGA	FOGA
8	11	FOGA	FOGA
8	12	FOGA	FOGA
8	13	FOGA	FOGA
8	14	FOGA	FOGA
8	15	FOGA	FOGA
9	10	FOGA	FOGA
9	11	FOGA	FOGA
9	12	FOGA	FOGA
9	13	FOGA	FOGA
9	14	FOGA	FOGA
9	15	FOGA	FOGA
10	11	FOGA	FOGA
10	12	FOGA	FOGA
10	13	FOGA	FOGA
10	14	FOGA	FOGA
10	15	FOGA	FOGA
11	12	FOGA	FOGA
11	13	FOGA	FOGA
11	14	FOGA	FOGA
11	15	FOGA	FOGA
12	13	FOGA	FOGA
12	14	FOGA	FOGA
12	15	FOGA	FOGA
13	14	FOGA	FOGA
13	15	FOGA	FOGA
14	15	FOGA	FOGA
16	17	GECCO (1)	GECCO
16	18	GECCO (1)	GECCO
16	21	GECCO (1)	GECCO
16	22	GECCO (1)	GECCO
16	23	GECCO (1)	GECCO
16	24	GECCO (1)	GECCO
16	25	GECCO (1)	GECCO
16	26	GECCO (1)	GECCO
16	27	GECCO (1)	GECCO (1)
16	28	GECCO (1)	GECCO
16	29	GECCO (1)	GECCO
16	30	GECCO (1)	GECCO
16	31	GECCO (1)	GECCO
16	32	GECCO (1)	GECCO
16	33	GECCO (1)	GECCO
16	34	GECCO (1)	GECCO
16	35	GECCO (1)	GECCO
16	36	GECCO (1)	GECCO
16	37	GECCO (1)	GECCO
16	38	GECCO (1)	GECCO
16	39	GECCO (1)	GECCO
16	40	GECCO (1)	GECCO
16	41	GECCO (1)	GECCO
16	42	GECCO (1)	GECCO
16	44	GECCO (1)	GECCO
16	45	GECCO (1)	GECCO
16	47	GECCO (1)	GECCO
16	48	GECCO (1)	GECCO
16	51	GECCO (1)	GECCO
16	52	GECCO (1)	GECCO (1)
16	54	GECCO (1)	GECCO
16	55	GECCO (1)	GECCO
16	56	GECCO (1)	GECCO
16	57	GECCO (1)	GECCO
16	58	GECCO (1)	GECCO
16	59	GECCO (1)	GECCO
16	60	GECCO (1)	GECCO
16	61	GECCO (1)	GECCO
16	62	GECCO (1)	GECCO
16	63	GECCO (1)	GECCO
16	64	GECCO (1)	GECCO
16	65	GECCO (1)	GECCO
16	68	GECCO (1)	GECCO
16	69	GECCO (1)	GECCO
16	70	GECCO (1)	GECCO
16	72	GECCO (1)	GECCO
16	73	GECCO (1)	GECCO
16	74	GECCO (1)	GECCO
16	75	GECCO (1)	GECCO
16	76	GECCO (1)	GECCO
16	77	GECCO (1)	GECCO
16	78	GECCO (1)	GECCO
16	79	GECCO (1)	GECCO
16	80	GECCO (1)	GECCO
16	81	GECCO (1)	GECCO
16	82	GECCO (1)	GECCO
16	84	GECCO (1)	GECCO
16	85	GECCO (1)	GECCO
16	86	GECCO (1)	GECCO
16	87	GECCO (1)	GECCO
16	88	GECCO (1)	GECCO
16	89	GECCO (1)	GECCO
16	90	GECCO (1)	GECCO
16	91	GECCO (1)	GECCO
16	211	GECCO (1)	GECCO
16	212	GECCO (1)	GECCO
16	213	GECCO (1)	GECCO
16	214	GECCO (1)	GECCO
16	215	GECCO (1)	GECCO
16	216	GECCO (1)	GECCO
17	18	GECCO	GECCO
17	19	GECCO	GECCO (2)
17	20	GECCO	GECCO (2)
17	21	GECCO	GECCO
17	22	GECCO	GECCO
17	23	GECCO	GECCO
17	24	GECCO	GECCO
17	25	GECCO	GECCO
17	26	GECCO	GECCO
17	27	GECCO	GECCO (1)
17	28	GECCO	GECCO
17	29	GECCO	GECCO
17	30	GECCO	GECCO
17	31	GECCO	GECCO
17	32	GECCO	GECCO
17	33	GECCO	GECCO
17	34	GECCO	GECCO
17	35	GECCO	GECCO
17	36	GECCO	GECCO
17	37	GECCO	GECCO
17	38	GECCO	GECCO
17	39	GECCO	GECCO
17	40	GECCO	GECCO
17	41	GECCO	GECCO
17	42	GECCO	GECCO
17	43	GECCO	GECCO (2)
17	44	GECCO	GECCO
17	45	GECCO	GECCO
17	46	GECCO	GECCO Workshops
17	47	GECCO	GECCO
17	48	GECCO	GECCO
17	49	GECCO	GECCO (2)
17	50	GECCO	GECCO (2)
17	51	GECCO	GECCO
17	52	GECCO	GECCO (1)
17	53	GECCO	GECCO (2)
17	54	GECCO	GECCO
17	55	GECCO	GECCO
17	56	GECCO	GECCO
17	57	GECCO	GECCO
17	58	GECCO	GECCO
17	59	GECCO	GECCO
17	60	GECCO	GECCO
17	61	GECCO	GECCO
17	62	GECCO	GECCO
17	63	GECCO	GECCO
