0	129	ACIS-ICIS	ACIS-ICIS
5	6	CSCWD	CSCWD
5	7	CSCWD	CSCWD
5	8	CSCWD	CSCWD
5	9	CSCWD	CSCWD
5	10	CSCWD	CSCWD
5	11	CSCWD	CSCWD
5	12	CSCWD	CSCWD
5	13	CSCWD	CSCWD
5	15	CSCWD	CSCWD
5	16	CSCWD	CSCWD
5	17	CSCWD	CSCWD
5	18	CSCWD	CSCWD
5	124	CSCWD	CSCWD
5	125	CSCWD	CSCWD
5	132	CSCWD	CSCWD
5	133	CSCWD	CSCWD
6	7	CSCWD	CSCWD
6	8	CSCWD	CSCWD
6	9	CSCWD	CSCWD
6	10	CSCWD	CSCWD
6	11	CSCWD	CSCWD
6	12	CSCWD	CSCWD
6	13	CSCWD	CSCWD
6	15	CSCWD	CSCWD
6	16	CSCWD	CSCWD
6	17	CSCWD	CSCWD
6	18	CSCWD	CSCWD
6	124	CSCWD	CSCWD
6	125	CSCWD	CSCWD
6	132	CSCWD	CSCWD
6	133	CSCWD	CSCWD
7	8	CSCWD	CSCWD
7	9	CSCWD	CSCWD
7	10	CSCWD	CSCWD
7	11	CSCWD	CSCWD
7	12	CSCWD	CSCWD
7	13	CSCWD	CSCWD
7	15	CSCWD	CSCWD
7	16	CSCWD	CSCWD
7	17	CSCWD	CSCWD
7	18	CSCWD	CSCWD
7	124	CSCWD	CSCWD
7	125	CSCWD	CSCWD
7	132	CSCWD	CSCWD
7	133	CSCWD	CSCWD
8	9	CSCWD	CSCWD
8	10	CSCWD	CSCWD
8	11	CSCWD	CSCWD
8	12	CSCWD	CSCWD
8	13	CSCWD	CSCWD
8	15	CSCWD	CSCWD
8	16	CSCWD	CSCWD
8	17	CSCWD	CSCWD
8	18	CSCWD	CSCWD
8	124	CSCWD	CSCWD
8	125	CSCWD	CSCWD
8	132	CSCWD	CSCWD
8	133	CSCWD	CSCWD
9	10	CSCWD	CSCWD
9	11	CSCWD	CSCWD
9	12	CSCWD	CSCWD
9	13	CSCWD	CSCWD
9	15	CSCWD	CSCWD
9	16	CSCWD	CSCWD
9	17	CSCWD	CSCWD
9	18	CSCWD	CSCWD
9	124	CSCWD	CSCWD
9	125	CSCWD	CSCWD
9	132	CSCWD	CSCWD
9	133	CSCWD	CSCWD
10	11	CSCWD	CSCWD
10	12	CSCWD	CSCWD
10	13	CSCWD	CSCWD
10	15	CSCWD	CSCWD
10	16	CSCWD	CSCWD
10	17	CSCWD	CSCWD
10	18	CSCWD	CSCWD
10	124	CSCWD	CSCWD
10	125	CSCWD	CSCWD
10	132	CSCWD	CSCWD
10	133	CSCWD	CSCWD
11	12	CSCWD	CSCWD
11	13	CSCWD	CSCWD
11	15	CSCWD	CSCWD
11	16	CSCWD	CSCWD
11	17	CSCWD	CSCWD
11	18	CSCWD	CSCWD
11	124	CSCWD	CSCWD
11	125	CSCWD	CSCWD
11	132	CSCWD	CSCWD
11	133	CSCWD	CSCWD
12	13	CSCWD	CSCWD
12	15	CSCWD	CSCWD
12	16	CSCWD	CSCWD
12	17	CSCWD	CSCWD
12	18	CSCWD	CSCWD
12	124	CSCWD	CSCWD
12	125	CSCWD	CSCWD
12	132	CSCWD	CSCWD
12	133	CSCWD	CSCWD
13	15	CSCWD	CSCWD
13	16	CSCWD	CSCWD
13	17	CSCWD	CSCWD
13	18	CSCWD	CSCWD
13	124	CSCWD	CSCWD
13	125	CSCWD	CSCWD
13	132	CSCWD	CSCWD
13	133	CSCWD	CSCWD
15	16	CSCWD	CSCWD
15	17	CSCWD	CSCWD
15	18	CSCWD	CSCWD
15	124	CSCWD	CSCWD
15	125	CSCWD	CSCWD
15	132	CSCWD	CSCWD
15	133	CSCWD	CSCWD
16	17	CSCWD	CSCWD
16	18	CSCWD	CSCWD
16	124	CSCWD	CSCWD
16	125	CSCWD	CSCWD
16	132	CSCWD	CSCWD
16	133	CSCWD	CSCWD
17	18	CSCWD	CSCWD
17	124	CSCWD	CSCWD
17	125	CSCWD	CSCWD
17	132	CSCWD	CSCWD
17	133	CSCWD	CSCWD
18	124	CSCWD	CSCWD
18	125	CSCWD	CSCWD
18	132	CSCWD	CSCWD
18	133	CSCWD	CSCWD
20	21	DASFAA	DASFAA
20	22	DASFAA	DASFAA
20	23	DASFAA	DASFAA
21	22	DASFAA	DASFAA
21	23	DASFAA	DASFAA
22	23	DASFAA	DASFAA
25	26	FPGA	FPGA
28	30	FSKD (1)	FSKD
29	30	FSKD (2)	FSKD
32	33	GCC Workshops	GCC
36	37	International Conference on Computational Science (3)	International Conference on Computational Science (1)
36	38	International Conference on Computational Science (3)	International Conference on Computational Science (1)
37	38	International Conference on Computational Science (1)	International Conference on Computational Science (1)
43	44	ICIP (3)	ICIP
45	46	ICNC (2)	ICNC (2)
52	54	ISNN (1)	ISNN (1)
59	60	ACM Multimedia	ACM Multimedia
63	64	POPL	POPL
69	70	SNPD (3)	SNPD (3)
73	74	WAIM	WAIM
73	75	WAIM	WAIM
73	76	WAIM	WAIM
73	77	WAIM	WAIM
73	78	WAIM	WAIM
73	79	WAIM	APWeb/WAIM
73	80	WAIM	WAIM
73	81	WAIM	APWeb/WAIM
74	75	WAIM	WAIM
74	76	WAIM	WAIM
74	77	WAIM	WAIM
74	78	WAIM	WAIM
74	79	WAIM	APWeb/WAIM
74	80	WAIM	WAIM
74	81	WAIM	APWeb/WAIM
75	76	WAIM	WAIM
75	77	WAIM	WAIM
75	78	WAIM	WAIM
75	79	WAIM	APWeb/WAIM
75	80	WAIM	WAIM
75	81	WAIM	APWeb/WAIM
76	77	WAIM	WAIM
76	78	WAIM	WAIM
76	79	WAIM	APWeb/WAIM
76	80	WAIM	WAIM
76	81	WAIM	APWeb/WAIM
77	78	WAIM	WAIM
77	79	WAIM	APWeb/WAIM
77	80	WAIM	WAIM
77	81	WAIM	APWeb/WAIM
