16	17	DEXA	DEXA Workshops
25	26	HICSS	HICSS
29	30	International Conference on Computational Science (2)	International Conference on Computational Science (2)
29	31	International Conference on Computational Science (2)	International Conference on Computational Science (4)
30	31	International Conference on Computational Science (2)	International Conference on Computational Science (4)
39	40	ICIP (3)	ICIP
43	44	ICNP	ICNP
46	47	ICSOC	ICSOC
50	51	ICWS	ICWS
50	143	ICWS	ICWS
51	143	ICWS	ICWS
53	54	INFOCOM	INFOCOM
66	67	PAKDD	PAKDD
74	75	SIGCOMM	SIGCOMM
88	89	GLOBECOM	GLOBECOM
88	90	GLOBECOM	GLOBECOM
89	90	GLOBECOM	GLOBECOM
94	95	NOMS	NOMS
94	96	NOMS	NOMS
95	96	NOMS	NOMS
109	110	J. ACM	J. ACM
109	111	J. ACM	J. ACM
109	112	J. ACM	J. ACM
110	111	J. ACM	J. ACM
110	112	J. ACM	J. ACM
111	112	J. ACM	J. ACM
115	116	J. Symb. Log.	J. Symb. Log.
115	117	J. Symb. Log.	J. Symb. Log.
115	118	J. Symb. Log.	J. Symb. Log.
115	119	J. Symb. Log.	J. Symb. Log.
115	120	J. Symb. Log.	J. Symb. Log.
115	121	J. Symb. Log.	J. Symb. Log.
115	122	J. Symb. Log.	J. Symb. Log.
115	123	J. Symb. Log.	J. Symb. Log.
115	124	J. Symb. Log.	J. Symb. Log.
115	125	J. Symb. Log.	J. Symb. Log.
115	126	J. Symb. Log.	J. Symb. Log.
115	127	J. Symb. Log.	J. Symb. Log.
115	128	J. Symb. Log.	J. Symb. Log.
115	129	J. Symb. Log.	J. Symb. Log.
116	117	J. Symb. Log.	J. Symb. Log.
116	118	J. Symb. Log.	J. Symb. Log.
116	119	J. Symb. Log.	J. Symb. Log.
116	120	J. Symb. Log.	J. Symb. Log.
116	121	J. Symb. Log.	J. Symb. Log.
116	122	J. Symb. Log.	J. Symb. Log.
116	123	J. Symb. Log.	J. Symb. Log.
116	124	J. Symb. Log.	J. Symb. Log.
116	125	J. Symb. Log.	J. Symb. Log.
116	126	J. Symb. Log.	J. Symb. Log.
116	127	J. Symb. Log.	J. Symb. Log.
116	128	J. Symb. Log.	J. Symb. Log.
116	129	J. Symb. Log.	J. Symb. Log.
117	118	J. Symb. Log.	J. Symb. Log.
117	119	J. Symb. Log.	J. Symb. Log.
117	120	J. Symb. Log.	J. Symb. Log.
117	121	J. Symb. Log.	J. Symb. Log.
117	122	J. Symb. Log.	J. Symb. Log.
117	123	J. Symb. Log.	J. Symb. Log.
117	124	J. Symb. Log.	J. Symb. Log.
117	125	J. Symb. Log.	J. Symb. Log.
117	126	J. Symb. Log.	J. Symb. Log.
117	127	J. Symb. Log.	J. Symb. Log.
117	128	J. Symb. Log.	J. Symb. Log.
117	129	J. Symb. Log.	J. Symb. Log.
118	119	J. Symb. Log.	J. Symb. Log.
118	120	J. Symb. Log.	J. Symb. Log.
118	121	J. Symb. Log.	J. Symb. Log.
118	122	J. Symb. Log.	J. Symb. Log.
118	123	J. Symb. Log.	J. Symb. Log.
118	124	J. Symb. Log.	J. Symb. Log.
118	125	J. Symb. Log.	J. Symb. Log.
118	126	J. Symb. Log.	J. Symb. Log.
118	127	J. Symb. Log.	J. Symb. Log.
118	128	J. Symb. Log.	J. Symb. Log.
118	129	J. Symb. Log.	J. Symb. Log.
119	120	J. Symb. Log.	J. Symb. Log.
119	121	J. Symb. Log.	J. Symb. Log.
119	122	J. Symb. Log.	J. Symb. Log.
119	123	J. Symb. Log.	J. Symb. Log.
119	124	J. Symb. Log.	J. Symb. Log.
119	125	J. Symb. Log.	J. Symb. Log.
119	126	J. Symb. Log.	J. Symb. Log.
119	127	J. Symb. Log.	J. Symb. Log.
119	128	J. Symb. Log.	J. Symb. Log.
119	129	J. Symb. Log.	J. Symb. Log.
120	121	J. Symb. Log.	J. Symb. Log.
120	122	J. Symb. Log.	J. Symb. Log.
120	123	J. Symb. Log.	J. Symb. Log.
120	124	J. Symb. Log.	J. Symb. Log.
120	125	J. Symb. Log.	J. Symb. Log.
120	126	J. Symb. Log.	J. Symb. Log.
120	127	J. Symb. Log.	J. Symb. Log.
120	128	J. Symb. Log.	J. Symb. Log.
120	129	J. Symb. Log.	J. Symb. Log.
121	122	J. Symb. Log.	J. Symb. Log.
121	123	J. Symb. Log.	J. Symb. Log.
121	124	J. Symb. Log.	J. Symb. Log.
121	125	J. Symb. Log.	J. Symb. Log.
121	126	J. Symb. Log.	J. Symb. Log.
121	127	J. Symb. Log.	J. Symb. Log.
121	128	J. Symb. Log.	J. Symb. Log.
121	129	J. Symb. Log.	J. Symb. Log.
122	123	J. Symb. Log.	J. Symb. Log.
122	124	J. Symb. Log.	J. Symb. Log.
122	125	J. Symb. Log.	J. Symb. Log.
122	126	J. Symb. Log.	J. Symb. Log.
122	127	J. Symb. Log.	J. Symb. Log.
122	128	J. Symb. Log.	J. Symb. Log.
122	129	J. Symb. Log.	J. Symb. Log.
123	124	J. Symb. Log.	J. Symb. Log.
123	125	J. Symb. Log.	J. Symb. Log.
123	126	J. Symb. Log.	J. Symb. Log.
123	127	J. Symb. Log.	J. Symb. Log.
123	128	J. Symb. Log.	J. Symb. Log.
123	129	J. Symb. Log.	J. Symb. Log.
124	125	J. Symb. Log.	J. Symb. Log.
124	126	J. Symb. Log.	J. Symb. Log.
124	127	J. Symb. Log.	J. Symb. Log.
124	128	J. Symb. Log.	J. Symb. Log.
124	129	J. Symb. Log.	J. Symb. Log.
125	126	J. Symb. Log.	J. Symb. Log.
125	127	J. Symb. Log.	J. Symb. Log.
125	128	J. Symb. Log.	J. Symb. Log.
125	129	J. Symb. Log.	J. Symb. Log.
126	127	J. Symb. Log.	J. Symb. Log.
126	128	J. Symb. Log.	J. Symb. Log.
126	129	J. Symb. Log.	J. Symb. Log.
127	128	J. Symb. Log.	J. Symb. Log.
127	129	J. Symb. Log.	J. Symb. Log.
128	129	J. Symb. Log.	J. Symb. Log.
163	164	CoRR	CoRR
173	175	Proceedings of the 13TH IEEE International Conference on Network Protocols	Proceedings of the 13TH IEEE International Conference on Network Protocols
