0	1	The Benchmark Handbook	The Benchmark Handbook
13	14	COMPCON	COMPCON
21	189	Fault-Tolerant Distributed Computing	Fault-Tolerant Distributed Computing
22	23	HPTS	HPTS
25	26	ICDE	ICDE
25	27	ICDE	ICDE
26	27	ICDE	ICDE
33	34	SIGMETRICS	SIGMETRICS
35	36	SIGMOD Conference	SIGMOD Conference
35	37	SIGMOD Conference	SIGMOD Conference
35	38	SIGMOD Conference	SIGMOD Conference
35	39	SIGMOD Conference	SIGMOD Conference
35	40	SIGMOD Conference	SIGMOD Conference
35	41	SIGMOD Conference	SIGMOD Conference
35	42	SIGMOD Conference	SIGMOD Conference
35	43	SIGMOD Conference	SIGMOD Conference
35	44	SIGMOD Conference	SIGMOD Conference
35	45	SIGMOD Conference	SIGMOD Conference
35	46	SIGMOD Conference	SIGMOD Conference
35	47	SIGMOD Conference	SIGMOD Conference
35	48	SIGMOD Conference	SIGMOD Conference
35	49	SIGMOD Conference	SIGMOD Conference
35	50	SIGMOD Conference	SIGMOD Conference
35	51	SIGMOD Conference	SIGMOD Conference
35	52	SIGMOD Conference	SIGMOD Conference
36	37	SIGMOD Conference	SIGMOD Conference
36	38	SIGMOD Conference	SIGMOD Conference
36	39	SIGMOD Conference	SIGMOD Conference
36	40	SIGMOD Conference	SIGMOD Conference
36	41	SIGMOD Conference	SIGMOD Conference
36	42	SIGMOD Conference	SIGMOD Conference
36	43	SIGMOD Conference	SIGMOD Conference
36	44	SIGMOD Conference	SIGMOD Conference
36	45	SIGMOD Conference	SIGMOD Conference
36	46	SIGMOD Conference	SIGMOD Conference
36	47	SIGMOD Conference	SIGMOD Conference
36	48	SIGMOD Conference	SIGMOD Conference
36	49	SIGMOD Conference	SIGMOD Conference
36	50	SIGMOD Conference	SIGMOD Conference
36	51	SIGMOD Conference	SIGMOD Conference
36	52	SIGMOD Conference	SIGMOD Conference
37	38	SIGMOD Conference	SIGMOD Conference
37	39	SIGMOD Conference	SIGMOD Conference
37	40	SIGMOD Conference	SIGMOD Conference
37	41	SIGMOD Conference	SIGMOD Conference
37	42	SIGMOD Conference	SIGMOD Conference
37	43	SIGMOD Conference	SIGMOD Conference
37	44	SIGMOD Conference	SIGMOD Conference
37	45	SIGMOD Conference	SIGMOD Conference
37	46	SIGMOD Conference	SIGMOD Conference
37	47	SIGMOD Conference	SIGMOD Conference
37	48	SIGMOD Conference	SIGMOD Conference
37	49	SIGMOD Conference	SIGMOD Conference
