1	2	CGVR	CGVR
4	5	GMP	GMP
6	7	International Conference on Computational Science (2)	International Conference on Computational Science (2)
10	11	Computer-Aided Design	Computer-Aided Design
10	12	Computer-Aided Design	Computer-Aided Design
10	13	Computer-Aided Design	Computer-Aided Design
10	14	Computer-Aided Design	Computer-Aided Design
10	15	Computer-Aided Design	Computer-Aided Design
10	16	Computer-Aided Design	Computer-Aided Design
10	17	Computer-Aided Design	Computer-Aided Design
10	18	Computer-Aided Design	Computer-Aided Design
10	19	Computer-Aided Design	Computer-Aided Design
10	20	Computer-Aided Design	Computer-Aided Design
10	21	Computer-Aided Design	Computer-Aided Design
10	22	Computer-Aided Design	Computer-Aided Design
10	23	Computer-Aided Design	Computer-Aided Design
10	24	Computer-Aided Design	Computer-Aided Design
10	25	Computer-Aided Design	Computer-Aided Design
10	26	Computer-Aided Design	Computer-Aided Design
10	27	Computer-Aided Design	Computer Aided Geometric Design
11	12	Computer-Aided Design	Computer-Aided Design
11	13	Computer-Aided Design	Computer-Aided Design
11	14	Computer-Aided Design	Computer-Aided Design
11	15	Computer-Aided Design	Computer-Aided Design
11	16	Computer-Aided Design	Computer-Aided Design
11	17	Computer-Aided Design	Computer-Aided Design
11	18	Computer-Aided Design	Computer-Aided Design
11	19	Computer-Aided Design	Computer-Aided Design
11	20	Computer-Aided Design	Computer-Aided Design
11	21	Computer-Aided Design	Computer-Aided Design
11	22	Computer-Aided Design	Computer-Aided Design
11	23	Computer-Aided Design	Computer-Aided Design
11	24	Computer-Aided Design	Computer-Aided Design
11	25	Computer-Aided Design	Computer-Aided Design
11	26	Computer-Aided Design	Computer-Aided Design
11	27	Computer-Aided Design	Computer Aided Geometric Design
12	13	Computer-Aided Design	Computer-Aided Design
12	14	Computer-Aided Design	Computer-Aided Design
12	15	Computer-Aided Design	Computer-Aided Design
12	16	Computer-Aided Design	Computer-Aided Design
12	17	Computer-Aided Design	Computer-Aided Design
12	18	Computer-Aided Design	Computer-Aided Design
12	19	Computer-Aided Design	Computer-Aided Design
12	20	Computer-Aided Design	Computer-Aided Design
12	21	Computer-Aided Design	Computer-Aided Design
12	22	Computer-Aided Design	Computer-Aided Design
12	23	Computer-Aided Design	Computer-Aided Design
12	24	Computer-Aided Design	Computer-Aided Design
12	25	Computer-Aided Design	Computer-Aided Design
12	26	Computer-Aided Design	Computer-Aided Design
12	27	Computer-Aided Design	Computer Aided Geometric Design
13	14	Computer-Aided Design	Computer-Aided Design
13	15	Computer-Aided Design	Computer-Aided Design
13	16	Computer-Aided Design	Computer-Aided Design
13	17	Computer-Aided Design	Computer-Aided Design
13	18	Computer-Aided Design	Computer-Aided Design
13	19	Computer-Aided Design	Computer-Aided Design
13	20	Computer-Aided Design	Computer-Aided Design
13	21	Computer-Aided Design	Computer-Aided Design
13	22	Computer-Aided Design	Computer-Aided Design
