1	2	CIKM	CIKM
6	7	ICDCS	ICDCS
8	9	ICDE	ICDE
16	17	SIGMOD Conference	SIGMOD Conference
18	19	ACM SIGOPS European Workshop	ACM SIGOPS European Workshop
29	30	SIGMOD Record	SIGMOD Record
29	31	SIGMOD Record	SIGMOD Record
29	32	SIGMOD Record	SIGMOD Record
29	33	SIGMOD Record	SIGMOD Record
29	34	SIGMOD Record	SIGMOD Record
30	31	SIGMOD Record	SIGMOD Record
30	32	SIGMOD Record	SIGMOD Record
30	33	SIGMOD Record	SIGMOD Record
30	34	SIGMOD Record	SIGMOD Record
31	32	SIGMOD Record	SIGMOD Record
31	33	SIGMOD Record	SIGMOD Record
31	34	SIGMOD Record	SIGMOD Record
32	33	SIGMOD Record	SIGMOD Record
32	34	SIGMOD Record	SIGMOD Record
33	34	SIGMOD Record	SIGMOD Record
