0	1	Ada-Europe	Ada-Europe
3	5	FME	FME
4	6	VDM Europe (1)	VDM Europe
11	12	ZB	ZB
13	20	Concurrency - Practice and Experience	Concurrency and Computation: Practice Experience
15	16	Formal Asp. Comput.	Formal Asp. Comput.
21	22	Data Based Advisor	Data Based Advisor
21	23	Data Based Advisor	Data Based Advisor
21	25	Data Based Advisor	Data Based Advisor
21	26	Data Based Advisor	Data Based Advisor
21	27	Data Based Advisor	Data Based Advisor
21	28	Data Based Advisor	Data Based Advisor
21	29	Data Based Advisor	Data Based Advisor
21	30	Data Based Advisor	Data Based Advisor
22	23	Data Based Advisor	Data Based Advisor
22	25	Data Based Advisor	Data Based Advisor
22	26	Data Based Advisor	Data Based Advisor
22	27	Data Based Advisor	Data Based Advisor
22	28	Data Based Advisor	Data Based Advisor
22	29	Data Based Advisor	Data Based Advisor
22	30	Data Based Advisor	Data Based Advisor
23	25	Data Based Advisor	Data Based Advisor
23	26	Data Based Advisor	Data Based Advisor
23	27	Data Based Advisor	Data Based Advisor
23	28	Data Based Advisor	Data Based Advisor
23	29	Data Based Advisor	Data Based Advisor
23	30	Data Based Advisor	Data Based Advisor
25	26	Data Based Advisor	Data Based Advisor
25	27	Data Based Advisor	Data Based Advisor
25	28	Data Based Advisor	Data Based Advisor
25	29	Data Based Advisor	Data Based Advisor
25	30	Data Based Advisor	Data Based Advisor
26	27	Data Based Advisor	Data Based Advisor
26	28	Data Based Advisor	Data Based Advisor
26	29	Data Based Advisor	Data Based Advisor
26	30	Data Based Advisor	Data Based Advisor
27	28	Data Based Advisor	Data Based Advisor
27	29	Data Based Advisor	Data Based Advisor
27	30	Data Based Advisor	Data Based Advisor
28	29	Data Based Advisor	Data Based Advisor
28	30	Data Based Advisor	Data Based Advisor
29	30	Data Based Advisor	Data Based Advisor
