4	5	ACII	ACII
6	7	ADMA	ADMA
8	9	AMFG	AMFG
8	10	AMFG	AMFG
8	11	AMFG	AMFG
9	10	AMFG	AMFG
9	11	AMFG	AMFG
10	11	AMFG	AMFG
13	14	AVBPA	AVBPA
13	15	AVBPA	AVBPA
13	16	AVBPA	AVBPA
13	17	AVBPA	AVBPA
13	18	AVBPA	AVBPA
13	19	AVBPA	AVBPA
14	15	AVBPA	AVBPA
14	16	AVBPA	AVBPA
14	17	AVBPA	AVBPA
14	18	AVBPA	AVBPA
14	19	AVBPA	AVBPA
15	16	AVBPA	AVBPA
15	17	AVBPA	AVBPA
15	18	AVBPA	AVBPA
15	19	AVBPA	AVBPA
16	17	AVBPA	AVBPA
16	18	AVBPA	AVBPA
16	19	AVBPA	AVBPA
17	18	AVBPA	AVBPA
17	19	AVBPA	AVBPA
18	19	AVBPA	AVBPA
24	26	CVPR (2)	CVPR
24	27	CVPR (2)	CVPR
24	28	CVPR (2)	CVPR
24	29	CVPR (2)	CVPR
24	30	CVPR (2)	CVPR
24	31	CVPR (2)	CVPR
25	26	CVPR (1)	CVPR
25	27	CVPR (1)	CVPR
25	28	CVPR (1)	CVPR
25	29	CVPR (1)	CVPR
25	30	CVPR (1)	CVPR
25	31	CVPR (1)	CVPR
26	27	CVPR	CVPR
26	28	CVPR	CVPR
26	29	CVPR	CVPR
26	30	CVPR	CVPR
26	31	CVPR	CVPR
27	28	CVPR	CVPR
27	29	CVPR	CVPR
27	30	CVPR	CVPR
27	31	CVPR	CVPR
28	29	CVPR	CVPR
28	30	CVPR	CVPR
28	31	CVPR	CVPR
29	30	CVPR	CVPR
29	31	CVPR	CVPR
30	31	CVPR	CVPR
32	34	Data Compression Conference	Data Compression Conference
32	35	Data Compression Conference	Data Compression Conference
32	36	Data Compression Conference	Data Compression Conference
33	37	DCC	DCC
33	38	DCC	DCC
33	439	DCC	DCC
34	35	Data Compression Conference	Data Compression Conference
34	36	Data Compression Conference	Data Compression Conference
