0	75	Dennis Shasha	Dennis Shasha
1	11	Zhengxing Sun	Zhengxing Sun
1	70	Shuang Liang	Shuang Liang
1	70	Zhengxing Sun	Zhengxing Sun
2	29	Feng Huang	Feng Huang
2	29	Lifeng Sun	Lifeng Sun
2	31	Feng Huang	Feng Huang
2	67	Lifeng Sun	Lifeng Sun
2	87	Feng Huang	Feng Huang
2	87	Lifeng Sun	Lifeng Sun
2	87	Yuzhuo Zhong	Yuzhuo Zhong
2	99	Lifeng Sun	Lifeng Sun
2	112	Lifeng Sun	Lifeng Sun
2	164	Lifeng Sun	Lifeng Sun
3	4	Liyi Xiao	Liyi Xiao
3	4	Yizheng Ye	Yizheng Ye
3	4	Guoyong Huang	Guoyong Huang
3	115	Liyi Xiao	Liyi Xiao
3	115	Yizheng Ye	Yizheng Ye
4	115	Liyi Xiao	Liyi Xiao
4	115	Yizheng Ye	Yizheng Ye
5	6	Hong Chen	Hong Chen
5	6	Zhenquan Zhuang	Zhenquan Zhuang
5	36	Xianji Wang	Xianji Wang
5	36	Zhenquan Zhuang	Zhenquan Zhuang
5	37	Xianji Wang	Xianji Wang
5	37	Zhenquan Zhuang	Zhenquan Zhuang
5	38	Zhenquan Zhuang	Zhenquan Zhuang
5	39	Zhenquan Zhuang	Zhenquan Zhuang
5	48	Zhenquan Zhuang	Zhenquan Zhuang
5	81	Zhenquan Zhuang	Zhenquan Zhuang
5	110	Zhenquan Zhuang	Zhenquan Zhuang
5	113	Zhenquan Zhuang	Zhenquan Zhuang
5	166	Zhenquan Zhuang	Zhen-quan Zhuang
5	171	Hong Chen	Hong Chen
5	171	Zhenquan Zhuang	Zhenquan Zhuang
5	172	Xin Li	Xin Li
5	172	Hong Chen	Hong Chen
5	172	Xianji Wang	Xianji Wang
6	36	Zhenquan Zhuang	Zhenquan Zhuang
6	37	Zhenquan Zhuang	Zhenquan Zhuang
6	38	Peng Yao	Peng Yao
6	38	Zhenquan Zhuang	Zhenquan Zhuang
6	39	Peng Yao	Peng Yao
6	39	Zhenquan Zhuang	Zhenquan Zhuang
6	48	Zhenquan Zhuang	Zhenquan Zhuang
6	81	Zhenquan Zhuang	Zhenquan Zhuang
6	110	Wencong Zhang	Wencong Zhang
6	110	Zhenquan Zhuang	Zhenquan Zhuang
6	113	Wencong Zhang	Wencong Zhang
6	113	Zhenquan Zhuang	Zhenquan Zhuang
6	166	Zhenquan Zhuang	Zhen-quan Zhuang
6	171	Wencong Zhang	Wencong Zhang
6	171	Hong Chen	Hong Chen
6	171	Peng Yao	Peng Yao
6	171	Zhenquan Zhuang	Zhenquan Zhuang
6	172	Hong Chen	Hong Chen
7	8	Junwu Zhu	Junwu Zhu
7	8	Jiandong Wang	Jiandong Wang
7	86	Junwu Zhu	Junwu Zhu
7	133	Junwu Zhu	Junwu Zhu
7	173	Junwu Zhu	Junwu Zhu
8	86	Junwu Zhu	Junwu Zhu
8	133	Junwu Zhu	Junwu Zhu
8	173	Junwu Zhu	Junwu Zhu
11	70	Zhengxing Sun	Zhengxing Sun
13	74	Lu Peng	Lu Peng
13	155	Lu Peng	Lu Peng
14	88	Xiaojun Ye	Xiaojun Ye
14	144	Xiaojun Ye	Xiaojun Ye
14	144	Feng Xie	Feng Xie
16	71	Binxing Fang	Binxing Fang
17	18	Kuanquan Wang	Kuanquan Wang
17	18	David Zhang	David Zhang
17	111	Kuanquan Wang	Kuanquan Wang
17	111	David Zhang	David Zhang
17	117	Kuanquan Wang	Kuanquan Wang
17	117	David Zhang	David Zhang
18	111	Kuanquan Wang	Kuanquan Wang
18	111	David Zhang	David Zhang
18	117	Kuanquan Wang	Kuanquan Wang
18	117	David Zhang	David Zhang
20	21	Luxi Yang	Luxi Yang
20	22	Daofeng Xu	Daofeng Xu
20	22	Yongming Huang	Yongming Huang
20	22	Luxi Yang	Luxi Yang
20	132	Luxi Yang	Luxi Yang
21	22	Luxi Yang	Luxi Yang
21	132	Min Lin	Min Lin
21	132	Luxi Yang	Luxi Yang
21	132	Min Li	Min Li
22	132	Luxi Yang	Luxi Yang
23	80	Li-Shiuan Peh	Li-Shiuan Peh
23	122	Vassos Soteriou	Vassos Soteriou
23	122	Noel Eisley	Noel Eisley
23	122	Hangsheng Wang	Hangsheng Wang
23	122	Li-Shiuan Peh	Li-Shiuan Peh
23	138	Li-Shiuan Peh	Li-Shiuan Peh
24	56	Yao Wang	Yao Wang
24	56	Ming-Zeng Hu	Ming-Zeng Hu
24	56	Bo-Ru Yan	Bo-Ru Yan
24	125	Ming-Zeng Hu	Mingzeng Hu
25	29	Shi-Qiang Yang	Shiqiang Yang
25	30	Shi-Qiang Yang	Shiqiang Yang
25	31	Shi-Qiang Yang	Shiqiang Yang
25	32	Shi-Qiang Yang	Shi-Qiang Yang
25	67	Shi-Qiang Yang	Shiqiang Yang
25	99	Shi-Qiang Yang	Shiqiang Yang
