1	22	Chuntian Cheng	Chun-Tian Cheng
2	4	Munindar P. Singh	Munindar P. Singh
2	5	Munindar P. Singh	Munindar P. Singh
2	8	Munindar P. Singh	Munindar P. Singh
2	9	Munindar P. Singh	Munindar P. Singh
2	10	Munindar P. Singh	Munindar P. Singh
2	15	Munindar P. Singh	Munindar P. Singh
2	16	Munindar P. Singh	Munindar P. Singh
2	32	Munindar P. Singh	Munindar P. Singh
2	52	Munindar P. Singh	Munindar P. Singh
2	54	Munindar P. Singh	Munindar P. Singh
2	55	Munindar P. Singh	Munindar P. Singh
3	17	Zhenhua Duan	Zhenhua Duan
3	18	Zhenhua Duan	Zhenhua Duan
4	5	Munindar P. Singh	Munindar P. Singh
4	8	Munindar P. Singh	Munindar P. Singh
4	9	Munindar P. Singh	Munindar P. Singh
4	10	Munindar P. Singh	Munindar P. Singh
4	15	Munindar P. Singh	Munindar P. Singh
4	16	Munindar P. Singh	Munindar P. Singh
4	32	Munindar P. Singh	Munindar P. Singh
4	52	Munindar P. Singh	Munindar P. Singh
4	54	Munindar P. Singh	Munindar P. Singh
4	55	Munindar P. Singh	Munindar P. Singh
5	8	Munindar P. Singh	Munindar P. Singh
5	9	Munindar P. Singh	Munindar P. Singh
5	10	Munindar P. Singh	Munindar P. Singh
5	15	Munindar P. Singh	Munindar P. Singh
5	16	Munindar P. Singh	Munindar P. Singh
5	32	Munindar P. Singh	Munindar P. Singh
5	52	Munindar P. Singh	Munindar P. Singh
5	54	Munindar P. Singh	Munindar P. Singh
5	55	Munindar P. Singh	Munindar P. Singh
6	7	Paul Scerri	Paul Scerri
6	7	Katia P. Sycara	Katia P. Sycara
6	8	Katia P. Sycara	Katia P. Sycara
6	11	Paul Scerri	Paul Scerri
6	11	Katia P. Sycara	Katia P. Sycara
6	13	Katia P. Sycara	Katia P. Sycara
6	85	Sean Owens	Sean Owens
6	85	Robin Glinton	Robin Glinton
6	85	Katia P. Sycara	Katia P. Sycara
6	91	Sean Owens	Sean Owens
6	91	Robin Glinton	Robin Glinton
6	91	Katia P. Sycara	Katia P. Sycara
7	8	Katia P. Sycara	Katia P. Sycara
7	11	Yang Xu	Yang Xu
7	11	Paul Scerri	Paul Scerri
7	11	Michael Lewis	Michael Lewis
7	11	Katia P. Sycara	Katia P. Sycara
7	13	Katia P. Sycara	Katia P. Sycara
7	85	Michael Lewis	Michael Lewis
7	85	Katia P. Sycara	Katia P. Sycara
7	91	Michael Lewis	Michael Lewis
7	91	Katia P. Sycara	Katia P. Sycara
8	9	Munindar P. Singh	Munindar P. Singh
8	10	Munindar P. Singh	Munindar P. Singh
8	11	Katia P. Sycara	Katia P. Sycara
8	13	Cuihong Li	Cuihong Li
8	13	Katia P. Sycara	Katia P. Sycara
8	15	Munindar P. Singh	Munindar P. Singh
8	16	Munindar P. Singh	Munindar P. Singh
8	32	Munindar P. Singh	Munindar P. Singh
8	52	Munindar P. Singh	Munindar P. Singh
8	54	Munindar P. Singh	Munindar P. Singh
8	55	Munindar P. Singh	Munindar P. Singh
8	85	Katia P. Sycara	Katia P. Sycara
8	91	Katia P. Sycara	Katia P. Sycara
9	10	Munindar P. Singh	Munindar P. Singh
9	15	Munindar P. Singh	Munindar P. Singh
9	16	Munindar P. Singh	Munindar P. Singh
9	32	Munindar P. Singh	Munindar P. Singh
9	52	Munindar P. Singh	Munindar P. Singh
9	54	Munindar P. Singh	Munindar P. Singh
9	55	Munindar P. Singh	Munindar P. Singh
10	15	Munindar P. Singh	Munindar P. Singh
10	16	Munindar P. Singh	Munindar P. Singh
10	32	Munindar P. Singh	Munindar P. Singh
10	52	Munindar P. Singh	Munindar P. Singh
10	54	Munindar P. Singh	Munindar P. Singh
10	55	Munindar P. Singh	Munindar P. Singh
11	13	Katia P. Sycara	Katia P. Sycara
11	85	Katia P. Sycara	Katia P. Sycara
11	85	Michael Lewis	Michael Lewis
11	91	Katia P. Sycara	Katia P. Sycara
11	91	Michael Lewis	Michael Lewis
13	85	Katia P. Sycara	Katia P. Sycara
13	91	Katia P. Sycara	Katia P. Sycara
14	20	Maozhen Li	Maozhen Li
14	50	Maozhen Li	Maozhen Li
14	50	Yong-Hua Song	Yong-Hua Song
14	57	Maozhen Li	Maozhen Li
14	79	Maozhen Li	Maozhen Li
14	84	Maozhen Li	Maozhen Li
14	86	Maozhen Li	Maozhen Li
15	16	Munindar P. Singh	Munindar P. Singh
15	32	Munindar P. Singh	Munindar P. Singh
15	52	Munindar P. Singh	Munindar P. Singh
15	54	Munindar P. Singh	Munindar P. Singh
15	55	Munindar P. Singh	Munindar P. Singh
16	32	Munindar P. Singh	Munindar P. Singh
16	52	Munindar P. Singh	Munindar P. Singh
16	54	Munindar P. Singh	Munindar P. Singh
16	55	Munindar P. Singh	Munindar P. Singh
17	18	Lihui Lei	Lihui Lei
17	18	Zhenhua Duan	Zhenhua Duan
19	87	Dawei Huang	Dawei Huang
19	87	Gerald Schuller	Gerald Schuller
20	50	Maozhen Li	Maozhen Li
20	50	Man Qi	Man Qi
20	57	Maozhen Li	Maozhen Li
20	57	Man Qi	Man Qi
20	79	Maozhen Li	Maozhen Li
20	84	Maozhen Li	Maozhen Li
20	84	Man Qi	Man Qi
20	86	Maozhen Li	Maozhen Li
20	86	Man Qi	Man Qi
21	33	Klara Nahrstedt	Klara Nahrstedt
21	39	Klara Nahrstedt	Klara Nahrstedt
21	40	Klara Nahrstedt	Klara Nahrstedt
21	43	Klara Nahrstedt	Klara Nahrstedt
21	44	Klara Nahrstedt	Klara Nahrstedt
21	46	Klara Nahrstedt	Klara Nahrstedt
