0	24	Line Pouchard	Line Pouchard
0	24	Luca Cinquini	Luca Cinquini
0	24	Bob Drach	Bob Drach
0	24	Don Middleton	Don Middleton
0	24	David E. Bernholdt	David E. Bernholdt
0	24	Kasidit Chanchio	Kasidit Chanchio
0	24	Ian T. Foster	Ian T. Foster
0	24	Veronika Nefedova	Veronika Nefedova
0	24	Peter Fox	Peter Fox
0	24	Jose Garcia	Jose Garcia
0	24	Gary Strand	Gary Strand
0	24	Dean Williams	Dean Williams
0	24	Ann L. Chervenak	Ann L. Chervenak
0	24	Carl Kesselman	Carl Kesselman
0	24	Alex Sim	Alex Sim
0	24	Arie Shoshani	Arie Shoshani
1	9	Allen S. Parrish	Allen S. Parrish
1	9	David Cordes	David Cordes
1	23	Allen S. Parrish	Allen S. Parrish
1	23	David Cordes	David Cordes
2	3	Jianfeng Feng	Jianfeng Feng
2	11	Jianfeng Feng	Jianfeng Feng
2	12	Jianfeng Feng	Jianfeng Feng
2	13	Jianfeng Feng	Jianfeng Feng
2	14	Jianfeng Feng	Jianfeng Feng
2	27	Jianfeng Feng	Jianfeng Feng
2	28	Jianfeng Feng	Jianfeng Feng
2	29	Jianfeng Feng	Jianfeng Feng
2	30	Jianfeng Feng	Jianfeng Feng
2	31	Jianfeng Feng	Jianfeng Feng
2	32	Jianfeng Feng	Jianfeng Feng
2	37	Jianfeng Feng	Jianfeng Feng
2	38	Jianfeng Feng	Jianfeng Feng
2	39	Jianfeng Feng	Jianfeng Feng
2	40	Jianfeng Feng	Jianfeng Feng
2	48	Jianfeng Feng	Jianfeng Feng
2	49	Jianfeng Feng	Jianfeng Feng
2	52	Jianfeng Feng	Jianfeng Feng
3	11	Jianfeng Feng	Jianfeng Feng
3	12	Jianfeng Feng	Jianfeng Feng
3	13	Jianfeng Feng	Jianfeng Feng
3	14	Jianfeng Feng	Jianfeng Feng
3	27	Jianfeng Feng	Jianfeng Feng
3	28	Jianfeng Feng	Jianfeng Feng
3	29	Jianfeng Feng	Jianfeng Feng
3	30	Jianfeng Feng	Jianfeng Feng
3	31	Jianfeng Feng	Jianfeng Feng
3	32	Jianfeng Feng	Jianfeng Feng
3	37	Jianfeng Feng	Jianfeng Feng
3	38	Jianfeng Feng	Jianfeng Feng
3	39	Jianfeng Feng	Jianfeng Feng
3	40	Jianfeng Feng	Jianfeng Feng
3	48	Jianfeng Feng	Jianfeng Feng
3	49	Jianfeng Feng	Jianfeng Feng
3	52	Jianfeng Feng	Jianfeng Feng
4	7	Honghai Liu	Honghai Liu
4	15	Honghai Liu	Honghai Liu
4	16	Honghai Liu	Honghai Liu
4	17	Honghai Liu	Honghai Liu
4	21	Honghai Liu	Honghai Liu
4	45	Chee Seng Chan	Chee Seng Chan
4	45	Honghai Liu	Honghai Liu
4	51	Honghai Liu	Honghai Liu
4	57	Honghai Liu	Honghai Liu
7	15	Ian Morgan	Ian Morgan
7	15	Honghai Liu	Honghai Liu
7	15	George Turnbull	George Turnbull
7	16	Honghai Liu	Honghai Liu
7	17	Honghai Liu	Honghai Liu
7	21	Honghai Liu	Honghai Liu
