0	8	Vinod Ganapathy	Vinod Ganapathy
0	12	Somesh Jha	Somesh Jha
0	20	Somesh Jha	Somesh Jha
0	70	Somesh Jha	Somesh Jha
0	78	Somesh Jha	Somesh Jha
0	79	Somesh Jha	Somesh Jha
0	133	Somesh Jha	Somesh Jha
2	63	Jin Zhou	Jin Zhou
2	63	Li Tang	Li Tang
2	63	Kai Li	Kai Li
2	63	Zhizhi Zhou	Zhizhi Zhou
3	16	Twee-Hee Ong	Twee-Hee Ong
3	16	Kian-Lee Tan	Kian-Lee Tan
3	52	Beng Chin Ooi	Beng Chin Ooi
3	100	Twee-Hee Ong	Twee-Hee Ong
3	100	Beng Chin Ooi	Beng Chin Ooi
3	100	Kian-Lee Tan	Kian-Lee Tan
4	77	Guang-Sheng Ma	Guangsheng Ma
4	77	Xiuqin Wang	Xiuqin Wang
4	99	Guang-Sheng Ma	Guangsheng Ma
4	99	Xiuqin Wang	Xiuqin Wang
4	176	Guang-Sheng Ma	Guangsheng Ma
4	176	Xiuqin Wang	Xiuqin Wang
5	9	Robert W. Harrison	Robert Harrison
5	18	Xuezheng Fu	Xuezheng Fu
5	18	Robert W. Harrison	Robert W. Harrison
5	30	Xuezheng Fu	Xuezheng Fu
5	134	Xuezheng Fu	Xuezheng Fu
5	134	William L. Harrison	William L. Harrison
5	134	Robert W. Harrison	Robert W. Harrison
7	68	Han Wang	Han Wang
7	68	Jinmei Shen	Jinmei Shen
10	56	Andras Farago	Andras Farago
11	141	Yizhu Tong	Yizhu Tong
11	141	Taoying Liu	Taoying Liu
11	150	Taoying Liu	Taoying Liu
12	20	Somesh Jha	Somesh Jha
12	70	Somesh Jha	Somesh Jha
12	78	David Brumley	David Brumley
12	78	Somesh Jha	Somesh Jha
12	78	Dawn Xiaodong Song	Dawn Xiaodong Song
12	79	Somesh Jha	Somesh Jha
12	133	David Brumley	David Brumley
12	133	Somesh Jha	Somesh Jha
13	73	Vladimir D. Tonchev	Vladimir D. Tonchev
13	113	Vladimir D. Tonchev	Vladimir D. Tonchev
16	100	Twee-Hee Ong	Twee-Hee Ong
16	100	Kian-Lee Tan	Kian-Lee Tan
17	19	Heqing Guo	Heqing Guo
17	27	Heqing Guo	Heqing Guo
17	32	Heqing Guo	Heqing Guo
17	33	Heqing Guo	Heqing Guo
17	37	Heqing Guo	Heqing Guo
17	82	Heqing Guo	Heqing Guo
17	92	Yuyi Ou	Yuyi Ou
17	92	Jie Ling	Jie Ling
17	92	Xiang Xu	Xiang Xu
17	102	Heqing Guo	Heqing Guo
17	168	Yuyi Ou	Yuyi Ou
17	168	Jie Ling	Jie Ling
17	168	Xiang Xu	Xiang Xu
18	30	Xuezheng Fu	Xuezheng Fu
18	30	Feng Tan	Feng Tan
18	30	Yanqing Zhang	Yanqing Zhang
18	134	Xuezheng Fu	Xuezheng Fu
18	134	Robert W. Harrison	Robert W. Harrison
19	27	Heqing Guo	Heqing Guo
19	32	Manshan Lin	Manshan Lin
19	32	Heqing Guo	Heqing Guo
19	33	Manshan Lin	Manshan Lin
19	33	Heqing Guo	Heqing Guo
19	37	Manshan Lin	Manshan Lin
19	37	Heqing Guo	Heqing Guo
19	82	Manshan Lin	Manshan Lin
19	82	Heqing Guo	Heqing Guo
19	102	Manshan Lin	Manshan Lin
19	102	Heqing Guo	Heqing Guo
20	70	Somesh Jha	Somesh Jha
20	78	Somesh Jha	Somesh Jha
20	79	Somesh Jha	Somesh Jha
20	79	Thomas W. Reps	Thomas W. Reps
20	79	Stefan Schwoon	Stefan Schwoon
20	133	Somesh Jha	Somesh Jha
21	147	Zhenhong Jia	Zhenhong Jia
21	147	Chun Chang	Chun Chang
21	147	Xizhong Qin	Xizhong Qin
21	157	Zhenhong Jia	Zhenhong Jia
21	157	Chun Chang	Chun Chang
21	157	Xizhong Qin	Xizhong Qin
21	170	Zhenhong Jia	Zhenhong Jia
21	170	Chun Chang	Chun Chang
21	170	Xizhong Qin	Xizhong Qin
21	170	Tao Li	Tao Li
21	170	Junkai Zhao	Junkai Zhao
23	145	Yanglan Gan	Yanglan Gan
23	145	Jihong Guan	Jihong Guan
24	150	Wei Li	Wei Li
25	26	Heng Xu	Heng Xu
25	26	Hock-Hai Teo	Hock-Hai Teo
25	48	Heng Xu	Heng Xu
26	48	Heng Xu	Heng Xu
27	32	Heqing Guo	Heqing Guo
27	33	Heqing Guo	Heqing Guo
27	37	Heqing Guo	Heqing Guo
27	82	Heqing Guo	Heqing Guo
27	102	Heqing Guo	Heqing Guo
28	61	David I. Laurenson	David I. Laurenson
28	61	Jane Hillston	Jane Hillston
28	139	David I. Laurenson	David I. Laurenson
28	139	Jane Hillston	Jane Hillston
29	103	Sergey Bereg	Sergey Bereg
30	134	Xuezheng Fu	Xuezheng Fu
32	33	Heqing Guo	Heqing Guo
32	33	Manshan Lin	Manshan Lin
32	33	Jianfei Yin	Jianfei Yin
32	33	Qi He	Qi He
32	33	Jun Zhang	Jun Zhang
32	37	Heqing Guo	Heqing Guo
32	37	Manshan Lin	Manshan Lin
32	82	Heqing Guo	Heqing Guo
32	82	Manshan Lin	Manshan Lin
32	82	Jianfei Yin	Jianfei Yin
32	102	Heqing Guo	Heqing Guo
32	102	Manshan Lin	Manshan Lin
32	102	Jianfei Yin	Jianfei Yin
32	102	Qi He	Qi He
32	102	Jun Zhang	Jun Zhang
33	37	Heqing Guo	Heqing Guo
33	37	Manshan Lin	Manshan Lin
33	82	Heqing Guo	Heqing Guo
33	82	Jianfei Yin	Jianfei Yin
33	82	Manshan Lin	Manshan Lin
33	102	Heqing Guo	Heqing Guo
33	102	Jianfei Yin	Jianfei Yin
33	102	Qi He	Qi He
33	102	Manshan Lin	Manshan Lin
33	102	Jun Zhang	Jun Zhang
35	43	Haiyong Xie	Haiyong Xie
35	43	Yang Richard Yang	Yang Richard Yang
35	44	Haiyong Xie	Haiyong Xie
35	44	Yang Richard Yang	Yang Richard Yang
35	53	Haiyong Xie	Haiyong Xie
35	53	Yang Richard Yang	Yang Richard Yang
35	74	Haiyong Xie	Haiyong Xie
35	74	Yang Richard Yang	Yang Richard Yang
35	75	Yang Richard Yang	Yang Richard Yang
35	131	Haiyong Xie	Haiyong Xie
35	131	Yang Richard Yang	Yang Richard Yang
35	138	Yang Richard Yang	Yang Richard Yang
35	173	Haiyong Xie	Haiyong Xie
35	173	Yang Richard Yang	Yang Richard Yang
35	175	Haiyong Xie	Haiyong Xie
35	175	Yang Richard Yang	Yang Richard Yang
36	45	Liang Liu	Liang Liu
36	45	Ying Chen	Ying Chen
36	46	Bo Yang	Bo Yang
36	46	Ying Chen	Ying Chen
36	47	Bo Yang	Bo Yang
36	47	Liang Liu	Liang Liu
36	47	Qian Ma	Qian Ma
36	47	Ying Chen	Ying Chen
36	50	Qian Ma	Qian Ma
36	51	Liang Liu	Liang Liu
36	94	Liang Liu	Liang Liu
36	94	Qian Ma	Qian Ma
36	94	Kewei Sun	Kewei Sun
36	94	Ying Chen	Ying Chen
36	95	Qian Ma	Qian Ma
36	96	Bo Yang	Bo Yang
36	96	Liang Liu	Liang Liu
36	140	Qian Ma	Qian Ma
36	143	Bo Yang	Bo Yang
36	153	Liang Liu	Liang Liu
36	153	Ying Chen	Ying Chen
36	165	Liang Liu	Liang Liu
36	165	Ying Chen	Ying Chen
36	172	Ying Chen	Ying Chen
37	82	Heqing Guo	Heqing Guo
37	82	Manshan Lin	Manshan Lin
37	102	Heqing Guo	Heqing Guo
37	102	Manshan Lin	Manshan Lin
39	55	Guobin Shen	Guobin Shen
39	55	Shipeng Li	Shipeng Li
39	55	Yuzhuo Zhong	Yuzhuo Zhong
40	106	Yanming Zou	Yanming Zou
41	64	Kaihua Zhu	Kaihua Zhu
41	64	Hang Cui	Hang Cui
41	64	Hongjie Bai	Hongjie Bai
41	64	Jian Li	Jian Li
41	64	Zhihuan Qiu	Zhihuan Qiu
41	64	Edward Y. Chang	Edward Y. Chang
43	44	Haiyong Xie	Haiyong Xie
43	44	Yang Richard Yang	Yang Richard Yang
43	44	Avi Silberschatz	Avi Silberschatz
43	44	Erran L. Li	Erran L. Li
43	44	Yanbin Liu	Yanbin Liu
43	53	Haiyong Xie	Haiyong Xie
