0	4	Puteri Norhashimah	Puteri Norhashimah
0	4	Jianmin Jiang	Jianmin Jiang
0	9	Jianmin Jiang	Jianmin Jiang
0	10	Jianmin Jiang	Jianmin Jiang
0	23	Jianmin Jiang	Jianmin Jiang
1	8	John C. Hart	John C. Hart
1	24	John C. Hart	John C. Hart
1	25	John C. Hart	John C. Hart
1	26	John C. Hart	John C. Hart
2	3	ChengXiang Zhai	ChengXiang Zhai
2	5	ChengXiang Zhai	ChengXiang Zhai
2	12	ChengXiang Zhai	ChengXiang Zhai
2	13	ChengXiang Zhai	ChengXiang Zhai
2	14	ChengXiang Zhai	ChengXiang Zhai
2	15	ChengXiang Zhai	ChengXiang Zhai
2	16	ChengXiang Zhai	ChengXiang Zhai
2	17	Xuanhui Wang	Xuanhui Wang
2	17	ChengXiang Zhai	ChengXiang Zhai
2	18	ChengXiang Zhai	ChengXiang Zhai
2	19	ChengXiang Zhai	ChengXiang Zhai
2	21	ChengXiang Zhai	ChengXiang Zhai
2	29	Xuanhui Wang	Xuanhui Wang
2	29	ChengXiang Zhai	ChengXiang Zhai
2	30	ChengXiang Zhai	ChengXiang Zhai
2	31	ChengXiang Zhai	ChengXiang Zhai
2	35	ChengXiang Zhai	ChengXiang Zhai
3	5	ChengXiang Zhai	ChengXiang Zhai
3	12	ChengXiang Zhai	ChengXiang Zhai
3	13	ChengXiang Zhai	ChengXiang Zhai
3	14	ChengXiang Zhai	ChengXiang Zhai
3	15	ChengXiang Zhai	ChengXiang Zhai
3	16	ChengXiang Zhai	ChengXiang Zhai
3	17	ChengXiang Zhai	ChengXiang Zhai
3	18	ChengXiang Zhai	ChengXiang Zhai
3	19	ChengXiang Zhai	ChengXiang Zhai
3	21	ChengXiang Zhai	ChengXiang Zhai
3	29	ChengXiang Zhai	ChengXiang Zhai
3	30	ChengXiang Zhai	ChengXiang Zhai
3	31	ChengXiang Zhai	ChengXiang Zhai
3	35	ChengXiang Zhai	ChengXiang Zhai
4	9	Jianmin Jiang	Jianmin Jiang
4	10	Jianmin Jiang	Jianmin Jiang
4	23	Jianmin Jiang	Jianmin Jiang
5	12	ChengXiang Zhai	ChengXiang Zhai
5	13	ChengXiang Zhai	ChengXiang Zhai
5	14	ChengXiang Zhai	ChengXiang Zhai
5	15	ChengXiang Zhai	ChengXiang Zhai
5	16	ChengXiang Zhai	ChengXiang Zhai
5	17	ChengXiang Zhai	ChengXiang Zhai
5	18	ChengXiang Zhai	ChengXiang Zhai
5	19	ChengXiang Zhai	ChengXiang Zhai
5	21	ChengXiang Zhai	ChengXiang Zhai
5	29	ChengXiang Zhai	ChengXiang Zhai
5	30	ChengXiang Zhai	ChengXiang Zhai
5	31	ChengXiang Zhai	ChengXiang Zhai
5	35	ChengXiang Zhai	ChengXiang Zhai
6	27	Nicholas Costen	Nicholas Costen
6	28	Nicholas Costen	Nicholas Costen
6	39	Nicholas Costen	Nicholas Costen
6	40	Nicholas Costen	Nicholas Costen
7	8	Steve Zelinka	Steve Zelinka
8	24	John C. Hart	John C. Hart
8	25	John C. Hart	John C. Hart
8	26	John C. Hart	John C. Hart
9	10	Jianmin Jiang	Jianmin Jiang
9	23	Yue Feng	Yue Feng
9	23	Jianmin Jiang	Jianmin Jiang
10	23	Jianmin Jiang	Jianmin Jiang
12	13	ChengXiang Zhai	ChengXiang Zhai
12	14	ChengXiang Zhai	ChengXiang Zhai
12	15	ChengXiang Zhai	ChengXiang Zhai
12	16	ChengXiang Zhai	ChengXiang Zhai
12	17	ChengXiang Zhai	ChengXiang Zhai
12	18	Tao Tao	Tao Tao
12	18	ChengXiang Zhai	ChengXiang Zhai
12	19	ChengXiang Zhai	ChengXiang Zhai
12	21	ChengXiang Zhai	ChengXiang Zhai
12	29	ChengXiang Zhai	ChengXiang Zhai
12	30	ChengXiang Zhai	ChengXiang Zhai
12	31	ChengXiang Zhai	ChengXiang Zhai
12	35	ChengXiang Zhai	ChengXiang Zhai
13	14	ChengXiang Zhai	ChengXiang Zhai
13	15	ChengXiang Zhai	ChengXiang Zhai
13	16	ChengXiang Zhai	ChengXiang Zhai
13	17	ChengXiang Zhai	ChengXiang Zhai
13	18	ChengXiang Zhai	ChengXiang Zhai
13	19	ChengXiang Zhai	ChengXiang Zhai
13	21	ChengXiang Zhai	ChengXiang Zhai
13	29	ChengXiang Zhai	ChengXiang Zhai
13	30	ChengXiang Zhai	ChengXiang Zhai
13	31	ChengXiang Zhai	ChengXiang Zhai
13	35	ChengXiang Zhai	ChengXiang Zhai
14	15	ChengXiang Zhai	ChengXiang Zhai
14	16	ChengXiang Zhai	ChengXiang Zhai
14	17	ChengXiang Zhai	ChengXiang Zhai
