0	33	Hui Wu	Hui Wu
0	33	Yuehua Lin	Yuehua Lin
0	76	Yuehua Lin	Yuehua Lin
0	85	Yuehua Lin	Yuehua Lin
0	85	Jeff Gray	Jeff Gray
0	98	Yuehua Lin	Yuehua Lin
0	135	Yuehua Lin	Yuehua Lin
0	135	Jeff Gray	Jeff Gray
0	140	Yuehua Lin	Yuehua Lin
0	140	Jeff Gray	Jeff Gray
0	142	Yuehua Lin	Yuehua Lin
0	142	Jeff Gray	Jeff Gray
0	150	Yuehua Lin	Yuehua Lin
0	150	Jeff Gray	Jeff Gray
0	157	Yuehua Lin	Yuehua Lin
0	157	Jeff Gray	Jeff Gray
2	9	Les Miller	Les Miller
2	9	Di Cook	Di Cook
3	6	Fanhuai Shi	Fanhuai Shi
3	6	Yuncai Liu	Yuncai Liu
3	19	Jianhua Wang	Jianhua Wang
3	19	Fanhuai Shi	Fanhuai Shi
3	19	Yuncai Liu	Yuncai Liu
3	66	Fanhuai Shi	Fanhuai Shi
3	66	Yuncai Liu	Yuncai Liu
3	84	Fanhuai Shi	Fanhuai Shi
3	84	Yuncai Liu	Yuncai Liu
3	112	Jianhua Wang	Jianhua Wang
3	112	Fanhuai Shi	Fanhuai Shi
3	112	Yuncai Liu	Yuncai Liu
3	119	Jianhua Wang	Jianhua Wang
3	119	Fanhuai Shi	Fanhuai Shi
3	119	Yuncai Liu	Yuncai Liu
3	148	Jianhua Wang	Jianhua Wang
3	148	Fanhuai Shi	Fanhuai Shi
3	148	Yuncai Liu	Yuncai Liu
3	149	Jianhua Wang	Jianhua Wang
3	149	Fanhuai Shi	Fanhuai Shi
3	149	Yuncai Liu	Yuncai Liu
3	160	Fanhuai Shi	Fanhuai Shi
3	160	Yuncai Liu	Yuncai Liu
4	62	Jing Peng	Jing Peng
4	62	Changjie Tang	Changjie Tang
4	128	Jing Peng	Jing Peng
4	128	Dongqing Yang	Dongqing Yang
4	128	Changjie Tang	Chang-jie Tang
4	128	Jianjun Hu	Jianjun Hu
4	208	Jing Peng	Jing Peng
4	208	Dongqing Yang	Dong-Qing Yang
4	208	Changjie Tang	Chang-jie Tang
6	19	Fanhuai Shi	Fanhuai Shi
6	19	Yuncai Liu	Yuncai Liu
6	66	Fanhuai Shi	Fanhuai Shi
6	66	Yuncai Liu	Yuncai Liu
6	84	Fanhuai Shi	Fanhuai Shi
6	84	Yuncai Liu	Yuncai Liu
6	112	Fanhuai Shi	Fanhuai Shi
6	112	Yuncai Liu	Yuncai Liu
6	119	Fanhuai Shi	Fanhuai Shi
6	119	Yuncai Liu	Yuncai Liu
6	148	Fanhuai Shi	Fanhuai Shi
6	148	Yuncai Liu	Yuncai Liu
6	149	Fanhuai Shi	Fanhuai Shi
6	149	Yuncai Liu	Yuncai Liu
6	160	Fanhuai Shi	Fanhuai Shi
6	160	Yuncai Liu	Yuncai Liu
7	8	Maozu Guo	Maozu Guo
7	8	Yang Yu	Yang Yu
7	75	Maozu Guo	Maozu Guo
7	87	Maozu Guo	Maozu Guo
7	87	Yang Yu	Yang Yu
8	75	Maozu Guo	Maozu Guo
8	87	Maozu Guo	Maozu Guo
8	87	Yang Yu	Yang Yu
12	13	John Strassner	John Strassner
12	14	John Strassner	John Strassner
12	23	John Strassner	John Strassner
12	23	Yan Liu	Yan Liu
12	81	John Strassner	John Strassner
12	81	Yan Liu	Yan Liu
12	118	John Strassner	John Strassner
12	118	Yan Liu	Yan Liu
12	120	John Strassner	John Strassner
12	120	Yan Liu	Yan Liu
12	176	John Strassner	John Strassner
12	176	Yan Liu	Yan Liu
13	14	John Strassner	John Strassner
