0	33	Sandip Sen	Sandip Sen
0	33	Mahendra Sekaran	Mahendra Sekaran
2	3	Mauricio Papa	Mauricio Papa
2	3	Sujeet Shenoi	Sujeet Shenoi
2	4	Pablo Galiasso	Pablo Galiasso
2	4	Sujeet Shenoi	Sujeet Shenoi
2	6	Mauricio Papa	Mauricio Papa
2	7	Mauricio Papa	Mauricio Papa
2	7	Sujeet Shenoi	Sujeet Shenoi
2	8	Sujeet Shenoi	Sujeet Shenoi
2	9	Mauricio Papa	Mauricio Papa
2	9	Sujeet Shenoi	Sujeet Shenoi
2	10	Sujeet Shenoi	Sujeet Shenoi
2	11	Sujeet Shenoi	Sujeet Shenoi
2	12	Sujeet Shenoi	Sujeet Shenoi
2	13	Mauricio Papa	Mauricio Papa
2	14	Mauricio Papa	Mauricio Papa
2	14	Sujeet Shenoi	Sujeet Shenoi
2	15	Sujeet Shenoi	Sujeet Shenoi
2	17	Mauricio Papa	Mauricio Papa
2	17	Sujeet Shenoi	Sujeet Shenoi
2	21	Mauricio Papa	Mauricio Papa
2	21	Sujeet Shenoi	Sujeet Shenoi
2	22	Sujeet Shenoi	Sujeet Shenoi
2	24	Sujeet Shenoi	Sujeet Shenoi
2	25	Mauricio Papa	Mauricio Papa
2	25	Sujeet Shenoi	Sujeet Shenoi
2	26	Sujeet Shenoi	Sujeet Shenoi
2	34	Sujeet Shenoi	Sujeet Shenoi
3	4	Oliver Bremer	Oliver Bremer
3	4	Sujeet Shenoi	Sujeet Shenoi
3	6	Mauricio Papa	Mauricio Papa
3	7	Mauricio Papa	Mauricio Papa
3	7	Sujeet Shenoi	Sujeet Shenoi
3	8	Rodrigo Chandia	Rodrigo Chandia
3	8	Sujeet Shenoi	Sujeet Shenoi
3	9	Mauricio Papa	Mauricio Papa
3	9	Sujeet Shenoi	Sujeet Shenoi
3	10	Sujeet Shenoi	Sujeet Shenoi
3	11	Sujeet Shenoi	Sujeet Shenoi
3	12	Sujeet Shenoi	Sujeet Shenoi
3	13	Mauricio Papa	Mauricio Papa
3	14	Mauricio Papa	Mauricio Papa
3	14	Oliver Bremer	Oliver Bremer
3	14	Sujeet Shenoi	Sujeet Shenoi
3	15	Sujeet Shenoi	Sujeet Shenoi
3	17	Mauricio Papa	Mauricio Papa
3	17	Oliver Bremer	Oliver Bremer
3	17	Sujeet Shenoi	Sujeet Shenoi
3	21	Mauricio Papa	Mauricio Papa
3	21	Oliver Bremer	Oliver Bremer
3	21	Sujeet Shenoi	Sujeet Shenoi
3	22	Sujeet Shenoi	Sujeet Shenoi
3	24	Sujeet Shenoi	Sujeet Shenoi
3	25	Mauricio Papa	Mauricio Papa
3	25	Sujeet Shenoi	Sujeet Shenoi
3	26	Sujeet Shenoi	Sujeet Shenoi
3	34	Sujeet Shenoi	Sujeet Shenoi
4	7	Sujeet Shenoi	Sujeet Shenoi
4	8	Sujeet Shenoi	Sujeet Shenoi
4	9	Sujeet Shenoi	Sujeet Shenoi
4	10	Sujeet Shenoi	Sujeet Shenoi
4	11	Sujeet Shenoi	Sujeet Shenoi
4	12	Sujeet Shenoi	Sujeet Shenoi
4	14	Oliver Bremer	Oliver Bremer
4	14	Sujeet Shenoi	Sujeet Shenoi
4	15	Sujeet Shenoi	Sujeet Shenoi
4	17	Oliver Bremer	Oliver Bremer
4	17	Sujeet Shenoi	Sujeet Shenoi
4	21	Oliver Bremer	Oliver Bremer
4	21	Sujeet Shenoi	Sujeet Shenoi
4	22	Sujeet Shenoi	Sujeet Shenoi
4	24	Sujeet Shenoi	Sujeet Shenoi
4	25	Sujeet Shenoi	Sujeet Shenoi
4	26	Sujeet Shenoi	Sujeet Shenoi
4	34	Sujeet Shenoi	Sujeet Shenoi
5	23	Stephen Tyree	Stephen Tyree
6	7	Mauricio Papa	Mauricio Papa
6	8	Clinton Campbell	Clinton Campbell
6	9	Mauricio Papa	Mauricio Papa
6	13	Mauricio Papa	Mauricio Papa
6	14	Mauricio Papa	Mauricio Papa
6	17	Mauricio Papa	Mauricio Papa
6	18	Jerald Dawkins	Jerald Dawkins
6	21	Mauricio Papa	Mauricio Papa
6	25	Mauricio Papa	Mauricio Papa
7	8	Sujeet Shenoi	Sujeet Shenoi
7	9	Mauricio Papa	Mauricio Papa
7	9	Sujeet Shenoi	Sujeet Shenoi
7	10	Jody Threet	Jody Threet
7	10	Sujeet Shenoi	Sujeet Shenoi
7	11	Jody Threet	Jody Threet
7	11	Sujeet Shenoi	Sujeet Shenoi
7	12	Sujeet Shenoi	Sujeet Shenoi
7	13	Mauricio Papa	Mauricio Papa
7	14	Mauricio Papa	Mauricio Papa
7	14	Sujeet Shenoi	Sujeet Shenoi
7	15	Sujeet Shenoi	Sujeet Shenoi
7	17	Mauricio Papa	Mauricio Papa
7	17	Sujeet Shenoi	Sujeet Shenoi
7	21	Mauricio Papa	Mauricio Papa
7	21	Sujeet Shenoi	Sujeet Shenoi
7	22	Sujeet Shenoi	Sujeet Shenoi
7	24	Sujeet Shenoi	Sujeet Shenoi
7	25	Mauricio Papa	Mauricio Papa
7	25	Sujeet Shenoi	Sujeet Shenoi
7	26	Jody Threet	Jody Threet
7	26	Sujeet Shenoi	Sujeet Shenoi
7	34	Jody Threet	Jody Threet
7	34	Sujeet Shenoi	Sujeet Shenoi
8	9	Sujeet Shenoi	Sujeet Shenoi
8	10	Sujeet Shenoi	Sujeet Shenoi
8	11	Sujeet Shenoi	Sujeet Shenoi
8	12	Sujeet Shenoi	Sujeet Shenoi
8	14	Sujeet Shenoi	Sujeet Shenoi
