0	5	Guoping Wang	Guoping Wang
3	4	Hongkai Xiong	Hongkai Xiong
3	4	Xiaobo Zhou	Xiaobo Zhou
3	13	Hongkai Xiong	Hongkai Xiong
3	13	Xiaobo Zhou	Xiaobo Zhou
3	21	Hongkai Xiong	Hongkai Xiong
3	21	Xiaobo Zhou	Xiaobo Zhou
4	13	Hongkai Xiong	Hongkai Xiong
4	13	Xiaobo Zhou	Xiaobo Zhou
4	21	Hongkai Xiong	Hongkai Xiong
4	21	Xiaobo Zhou	Xiaobo Zhou
6	8	Ming Tang	Ming Tang
6	8	James T. Kwok	James T. Kwok
6	14	James T. Kwok	James T. Kwok
6	15	James T. Kwok	James T. Kwok
6	16	James T. Kwok	James T. Kwok
6	22	James T. Kwok	James T. Kwok
6	51	James T. Kwok	James T. Kwok
6	55	James T. Kwok	James T. Kwok
6	59	James T. Kwok	James T. Kwok
8	14	James T. Kwok	James T. Kwok
8	15	James T. Kwok	James T. Kwok
8	16	James T. Kwok	James T. Kwok
8	22	James T. Kwok	James T. Kwok
8	51	James T. Kwok	James T. Kwok
8	55	James T. Kwok	James T. Kwok
8	59	James T. Kwok	James T. Kwok
9	43	Yu Wang	Yu Wang
10	11	Zhisheng Niu	Zhisheng Niu
10	12	Sheng Zhou	Sheng Zhou
10	12	Zhisheng Niu	Zhisheng Niu
10	29	Zhisheng Niu	Zhisheng Niu
10	34	Zhisheng Niu	Zhisheng Niu
10	35	Zhisheng Niu	Zhisheng Niu
10	36	Zhisheng Niu	Zhisheng Niu
10	37	Zhisheng Niu	Zhisheng Niu
11	12	Zhisheng Niu	Zhisheng Niu
11	29	Zhisheng Niu	Zhisheng Niu
11	34	Zhisheng Niu	Zhisheng Niu
11	35	Zhisheng Niu	Zhisheng Niu
11	36	Zhisheng Niu	Zhisheng Niu
11	37	Zhisheng Niu	Zhisheng Niu
12	29	Zhisheng Niu	Zhisheng Niu
12	34	Zhisheng Niu	Zhisheng Niu
12	35	Zhisheng Niu	Zhisheng Niu
12	36	Zhisheng Niu	Zhisheng Niu
12	37	Zhisheng Niu	Zhisheng Niu
13	21	Hongkai Xiong	Hongkai Xiong
13	21	Xiaobo Zhou	Xiaobo Zhou
14	15	James T. Kwok	James T. Kwok
14	16	James T. Kwok	James T. Kwok
14	22	James T. Kwok	James T. Kwok
14	51	James T. Kwok	James T. Kwok
14	55	James T. Kwok	James T. Kwok
14	59	James T. Kwok	James T. Kwok
15	16	Ivor W. Tsang	Ivor W. Tsang
15	16	James T. Kwok	James T. Kwok
15	22	James T. Kwok	James T. Kwok
15	51	James T. Kwok	James T. Kwok
15	55	James T. Kwok	James T. Kwok
15	59	Ivor W. Tsang	Ivor W. Tsang
15	59	James T. Kwok	James T. Kwok
16	22	James T. Kwok	James T. Kwok
16	51	James T. Kwok	James T. Kwok
16	55	James T. Kwok	James T. Kwok
16	59	Ivor W. Tsang	Ivor W. Tsang
16	59	James T. Kwok	James T. Kwok
18	52	Xinming Huang	Xinming Huang
18	53	Xinming Huang	Xinming Huang
18	54	Xinming Huang	Xinming Huang
22	51	James T. Kwok	James T. Kwok
22	55	James T. Kwok	James T. Kwok
22	59	James T. Kwok	James T. Kwok
23	63	WeiJun Liu	WeiJun Liu
29	34	Zhisheng Niu	Zhisheng Niu
29	35	Zhisheng Niu	Zhisheng Niu
29	36	Zhisheng Niu	Zhisheng Niu
29	37	Zhisheng Niu	Zhisheng Niu
33	39	Frank Y. Shih	Frank Y. Shih
33	40	Frank Y. Shih	Frank Y. Shih
33	41	Frank Y. Shih	Frank Y. Shih
33	42	Frank Y. Shih	Frank Y. Shih
33	43	Frank Y. Shih	Frank Y. Shih
33	44	Frank Y. Shih	Frank Y. Shih
33	46	Frank Y. Shih	Frank Y. Shih
33	61	Frank Y. Shih	Frank Y. Shih
34	35	Zhisheng Niu	Zhisheng Niu
34	36	Zhisheng Niu	Zhisheng Niu
34	37	Zhisheng Niu	Zhisheng Niu
35	36	Zhisheng Niu	Zhisheng Niu
35	37	Zhisheng Niu	Zhisheng Niu
36	37	Zhisheng Niu	Zhisheng Niu
39	40	Frank Y. Shih	Frank Y. Shih
39	41	Frank Y. Shih	Frank Y. Shih
39	42	Frank Y. Shih	Frank Y. Shih
39	43	Frank Y. Shih	Frank Y. Shih
39	44	Frank Y. Shih	Frank Y. Shih
39	46	Frank Y. Shih	Frank Y. Shih
39	61	Frank Y. Shih	Frank Y. Shih
40	41	Frank Y. Shih	Frank Y. Shih
40	42	Frank Y. Shih	Frank Y. Shih
40	43	Frank Y. Shih	Frank Y. Shih
40	44	Frank Y. Shih	Frank Y. Shih
40	46	Frank Y. Shih	Frank Y. Shih
40	61	Frank Y. Shih	Frank Y. Shih
41	42	Frank Y. Shih	Frank Y. Shih
41	43	Frank Y. Shih	Frank Y. Shih
41	44	Frank Y. Shih	Frank Y. Shih
41	46	Frank Y. Shih	Frank Y. Shih
41	61	Frank Y. Shih	Frank Y. Shih
42	43	Frank Y. Shih	Frank Y. Shih
42	44	Frank Y. Shih	Frank Y. Shih
42	46	Frank Y. Shih	Frank Y. Shih
42	61	Frank Y. Shih	Frank Y. Shih
43	44	Frank Y. Shih	Frank Y. Shih
43	46	Marc Q. Ma	Marc Q. Ma
43	46	Frank Y. Shih	Frank Y. Shih
43	61	Frank Y. Shih	Frank Y. Shih
44	46	Frank Y. Shih	Frank Y. Shih
44	61	Frank Y. Shih	Frank Y. Shih
45	49	R. Simon Sherratt	R. Simon Sherratt
45	49	Owen J. Wilkes	Owen J. Wilkes
46	61	Frank Y. Shih	Frank Y. Shih
51	55	James T. Kwok	James T. Kwok
51	59	James T. Kwok	James T. Kwok
52	53	Xinming Huang	Xinming Huang
52	54	Xinming Huang	Xinming Huang
52	54	Zhongfeng Wang	Zhongfeng Wang
53	54	Xinming Huang	Xinming Huang
55	59	James T. Kwok	James T. Kwok
57	64	Min Zhou	Min Zhou
