0	14	Haruo Takemura	Haruo Takemura
1	2	Heng Huang	Heng Huang
1	2	Rong Zhang	Rong Zhang
1	2	Fillia Makedon	Fillia Makedon
1	2	Justin D. Pearlman	Justin D. Pearlman
1	11	Heng Huang	Heng Huang
1	12	Heng Huang	Heng Huang
1	12	Fillia Makedon	Fillia Makedon
1	13	Heng Huang	Heng Huang
1	13	Rong Zhang	Rong Zhang
1	13	Fillia Makedon	Fillia Makedon
1	13	Justin D. Pearlman	Justin D. Pearlman
1	18	Fillia Makedon	Fillia Makedon
1	21	Heng Huang	Heng Huang
1	27	Fillia Makedon	Fillia Makedon
1	28	Fillia Makedon	Fillia Makedon
1	29	Fillia Makedon	Fillia Makedon
1	31	Heng Huang	Heng Huang
1	31	Rong Zhang	Rong Zhang
1	31	Fillia Makedon	Fillia Makedon
1	31	Justin D. Pearlman	Justin D. Pearlman
1	32	Heng Huang	Heng Huang
1	32	Rong Zhang	Rong Zhang
1	32	Fillia Makedon	Fillia Makedon
1	32	Justin D. Pearlman	Justin D. Pearlman
1	33	Fillia Makedon	Fillia Makedon
1	36	Heng Huang	Heng Huang
1	36	Fillia Makedon	Fillia Makedon
1	36	Justin D. Pearlman	Justin D. Pearlman
1	38	Fillia Makedon	Fillia Makedon
1	39	Fillia Makedon	Fillia Makedon
1	40	Fillia Makedon	Fillia Makedon
1	45	Fillia Makedon	Fillia Makedon
1	47	Fillia Makedon	Fillia Makedon
1	55	Heng Huang	Heng Huang
1	55	Rong Zhang	Rong Zhang
1	55	Fillia Makedon	Fillia Makedon
1	55	Justin D. Pearlman	Justin D. Pearlman
1	61	Heng Huang	Heng Huang
2	11	Heng Huang	Heng Huang
2	12	Heng Huang	Heng Huang
2	12	Fillia Makedon	Fillia Makedon
2	13	Heng Huang	Heng Huang
2	13	Rong Zhang	Rong Zhang
2	13	Fillia Makedon	Fillia Makedon
2	13	Justin D. Pearlman	Justin D. Pearlman
2	18	Fillia Makedon	Fillia Makedon
2	21	Heng Huang	Heng Huang
2	27	Fillia Makedon	Fillia Makedon
2	28	Fillia Makedon	Fillia Makedon
2	29	Fillia Makedon	Fillia Makedon
2	31	Heng Huang	Heng Huang
2	31	Rong Zhang	Rong Zhang
2	31	Fillia Makedon	Fillia Makedon
2	31	Justin D. Pearlman	Justin D. Pearlman
2	32	Heng Huang	Heng Huang
2	32	Rong Zhang	Rong Zhang
2	32	Fillia Makedon	Fillia Makedon
2	32	Justin D. Pearlman	Justin D. Pearlman
2	33	Fillia Makedon	Fillia Makedon
2	36	Heng Huang	Heng Huang
2	36	Fillia Makedon	Fillia Makedon
2	36	Justin D. Pearlman	Justin D. Pearlman
2	38	Fillia Makedon	Fillia Makedon
2	39	Fillia Makedon	Fillia Makedon
2	40	Fillia Makedon	Fillia Makedon
2	45	Fillia Makedon	Fillia Makedon
2	47	Fillia Makedon	Fillia Makedon
2	55	Heng Huang	Heng Huang
2	55	Rong Zhang	Rong Zhang
2	55	Fillia Makedon	Fillia Makedon
2	55	Justin D. Pearlman	Justin D. Pearlman
2	61	Heng Huang	Heng Huang
3	11	Moo K. Chung	Moo K. Chung
3	30	Moo K. Chung	Moo K. Chung
3	56	Moo K. Chung	Moo K. Chung
5	6	Eng Chong Tan	Eng Chong Tan
5	22	Eng Chong Tan	Eng Chong Tan
5	44	Eng Chong Tan	Eng Chong Tan
5	54	Eng Chong Tan	Eng Chong Tan
6	22	Eng Chong Tan	Eng Chong Tan
6	44	Eng Chong Tan	Eng Chong Tan
6	54	Eng Chong Tan	Eng Chong Tan
7	8	Zhiying Wang	Zhiying Wang
7	16	Zhiying Wang	Zhiying Wang
7	19	Zhiying Wang	Zhiying Wang
7	42	Zhiying Wang	Zhiying Wang
7	43	Zhiying Wang	Zhiying Wang
7	58	Zhiying Wang	Zhiying Wang
7	60	Zhiying Wang	Zhiying Wang
7	62	Zhiying Wang	Zhiying Wang
7	65	Zhiying Wang	Zhi-ying Wang
7	67	Zhiying Wang	Zhi-ying Wang
8	16	Libo Huang	Libo Huang
8	16	Zhiying Wang	Zhiying Wang
8	19	Kui Dai	Kui Dai
8	19	Zhiying Wang	Zhiying Wang
8	41	Libo Huang	Libo Huang
8	41	Kui Dai	Kui Dai
8	42	Libo Huang	Libo Huang
8	42	Kui Dai	Kui Dai
8	42	Zhiying Wang	Zhiying Wang
8	43	Zhiying Wang	Zhiying Wang
8	58	Zhiying Wang	Zhiying Wang
8	60	Zhiying Wang	Zhiying Wang
8	62	Zhiying Wang	Zhiying Wang
8	65	Kui Dai	Kui Dai
8	65	Zhiying Wang	Zhi-ying Wang
8	67	Kui Dai	Kui Dai
8	67	Zhiying Wang	Zhi-ying Wang
11	12	Andrew J. Saykin	Andrew J. Saykin
11	12	Heng Huang	Heng Huang
11	13	Heng Huang	Heng Huang
11	18	Andrew J. Saykin	Andrew J. Saykin
11	21	Heng Huang	Heng Huang
11	30	Moo K. Chung	Moo K. Chung
11	31	Heng Huang	Heng Huang
11	32	Heng Huang	Heng Huang
11	33	Andrew J. Saykin	Andrew J. Saykin
11	36	Heng Huang	Heng Huang
11	39	Andrew J. Saykin	Andrew J. Saykin
11	45	Andrew J. Saykin	Andrew J. Saykin
11	55	Andrew J. Saykin	Andrew J. Saykin
11	55	Heng Huang	Heng Huang
11	56	Moo K. Chung	Moo K. Chung
11	61	Heng Huang	Heng Huang
11	64	Andrew J. Saykin	Andrew J. Saykin
11	66	Andrew J. Saykin	Andrew J. Saykin
12	13	Heng Huang	Heng Huang
12	13	Fillia Makedon	Fillia Makedon
12	18	Fillia Makedon	Fillia Makedon
12	18	Andrew J. Saykin	Andrew J. Saykin
12	21	Heng Huang	Heng Huang
12	27	Fillia Makedon	Fillia Makedon
12	28	Fillia Makedon	Fillia Makedon
12	29	Fillia Makedon	Fillia Makedon
12	31	Heng Huang	Heng Huang
12	31	Fillia Makedon	Fillia Makedon
12	32	Heng Huang	Heng Huang
12	32	Fillia Makedon	Fillia Makedon
12	33	Fillia Makedon	Fillia Makedon
12	33	Andrew J. Saykin	Andrew J. Saykin
12	36	Heng Huang	Heng Huang
