1	2	Shipeng Li	Shipeng Li
3	4	Derek Leonard	Derek Leonard
3	4	Zhongmei Yao	Zhongmei Yao
3	4	Dmitri Loguinov	Dmitri Loguinov
3	5	Derek Leonard	Derek Leonard
3	5	Zhongmei Yao	Zhongmei Yao
3	5	Dmitri Loguinov	Dmitri Loguinov
3	6	Zhongmei Yao	Zhongmei Yao
3	6	Dmitri Loguinov	Dmitri Loguinov
3	7	Dmitri Loguinov	Dmitri Loguinov
3	8	Dmitri Loguinov	Dmitri Loguinov
3	10	Dmitri Loguinov	Dmitri Loguinov
3	11	Derek Leonard	Derek Leonard
3	11	Dmitri Loguinov	Dmitri Loguinov
3	21	Dmitri Loguinov	Dmitri Loguinov
3	22	Dmitri Loguinov	Dmitri Loguinov
3	23	Derek Leonard	Derek Leonard
3	23	Zhongmei Yao	Zhongmei Yao
3	23	Dmitri Loguinov	Dmitri Loguinov
3	24	Derek Leonard	Derek Leonard
3	24	Zhongmei Yao	Zhongmei Yao
3	24	Dmitri Loguinov	Dmitri Loguinov
3	27	Zhongmei Yao	Zhongmei Yao
3	27	Dmitri Loguinov	Dmitri Loguinov
3	28	Derek Leonard	Derek Leonard
3	28	Dmitri Loguinov	Dmitri Loguinov
4	5	Zhongmei Yao	Zhongmei Yao
4	5	Derek Leonard	Derek Leonard
4	5	Dmitri Loguinov	Dmitri Loguinov
4	6	Zhongmei Yao	Zhongmei Yao
4	6	Dmitri Loguinov	Dmitri Loguinov
4	7	Dmitri Loguinov	Dmitri Loguinov
4	8	Dmitri Loguinov	Dmitri Loguinov
4	10	Dmitri Loguinov	Dmitri Loguinov
4	11	Derek Leonard	Derek Leonard
4	11	Dmitri Loguinov	Dmitri Loguinov
4	21	Dmitri Loguinov	Dmitri Loguinov
4	22	Dmitri Loguinov	Dmitri Loguinov
4	23	Zhongmei Yao	Zhongmei Yao
4	23	Derek Leonard	Derek Leonard
4	23	Dmitri Loguinov	Dmitri Loguinov
4	24	Zhongmei Yao	Zhongmei Yao
4	24	Derek Leonard	Derek Leonard
4	24	Dmitri Loguinov	Dmitri Loguinov
4	27	Zhongmei Yao	Zhongmei Yao
4	27	Dmitri Loguinov	Dmitri Loguinov
4	28	Derek Leonard	Derek Leonard
4	28	Dmitri Loguinov	Dmitri Loguinov
5	6	Zhongmei Yao	Zhongmei Yao
5	6	Dmitri Loguinov	Dmitri Loguinov
5	7	Dmitri Loguinov	Dmitri Loguinov
5	8	Dmitri Loguinov	Dmitri Loguinov
5	10	Dmitri Loguinov	Dmitri Loguinov
5	11	Derek Leonard	Derek Leonard
5	11	Dmitri Loguinov	Dmitri Loguinov
5	21	Dmitri Loguinov	Dmitri Loguinov
5	22	Dmitri Loguinov	Dmitri Loguinov
5	23	Zhongmei Yao	Zhongmei Yao
5	23	Derek Leonard	Derek Leonard
5	23	Dmitri Loguinov	Dmitri Loguinov
5	24	Zhongmei Yao	Zhongmei Yao
5	24	Derek Leonard	Derek Leonard
5	24	Dmitri Loguinov	Dmitri Loguinov
5	27	Zhongmei Yao	Zhongmei Yao
5	27	Dmitri Loguinov	Dmitri Loguinov
5	28	Derek Leonard	Derek Leonard
5	28	Dmitri Loguinov	Dmitri Loguinov
6	7	Dmitri Loguinov	Dmitri Loguinov
6	8	Dmitri Loguinov	Dmitri Loguinov
6	10	Dmitri Loguinov	Dmitri Loguinov
6	11	Dmitri Loguinov	Dmitri Loguinov
6	21	Dmitri Loguinov	Dmitri Loguinov
6	22	Dmitri Loguinov	Dmitri Loguinov
6	23	Zhongmei Yao	Zhongmei Yao
6	23	Dmitri Loguinov	Dmitri Loguinov
6	24	Zhongmei Yao	Zhongmei Yao
6	24	Dmitri Loguinov	Dmitri Loguinov
6	27	Zhongmei Yao	Zhongmei Yao
6	27	Dmitri Loguinov	Dmitri Loguinov
6	28	Dmitri Loguinov	Dmitri Loguinov
7	8	Dmitri Loguinov	Dmitri Loguinov
7	10	Dmitri Loguinov	Dmitri Loguinov
7	11	Dmitri Loguinov	Dmitri Loguinov
7	21	Dmitri Loguinov	Dmitri Loguinov
7	22	Dmitri Loguinov	Dmitri Loguinov
7	23	Dmitri Loguinov	Dmitri Loguinov
7	24	Dmitri Loguinov	Dmitri Loguinov
7	27	Dmitri Loguinov	Dmitri Loguinov
7	28	Dmitri Loguinov	Dmitri Loguinov
8	10	Dmitri Loguinov	Dmitri Loguinov
8	11	Dmitri Loguinov	Dmitri Loguinov
8	21	Dmitri Loguinov	Dmitri Loguinov
8	22	Dmitri Loguinov	Dmitri Loguinov
8	23	Dmitri Loguinov	Dmitri Loguinov
8	24	Dmitri Loguinov	Dmitri Loguinov
8	27	Dmitri Loguinov	Dmitri Loguinov
8	28	Dmitri Loguinov	Dmitri Loguinov
10	11	Dmitri Loguinov	Dmitri Loguinov
10	21	Dmitri Loguinov	Dmitri Loguinov
10	22	Dmitri Loguinov	Dmitri Loguinov
10	23	Dmitri Loguinov	Dmitri Loguinov
10	24	Dmitri Loguinov	Dmitri Loguinov
10	27	Dmitri Loguinov	Dmitri Loguinov
10	28	Dmitri Loguinov	Dmitri Loguinov
11	21	Dmitri Loguinov	Dmitri Loguinov
11	22	Dmitri Loguinov	Dmitri Loguinov
11	23	Derek Leonard	Derek Leonard
11	23	Dmitri Loguinov	Dmitri Loguinov
11	24	Derek Leonard	Derek Leonard
11	24	Dmitri Loguinov	Dmitri Loguinov
11	27	Dmitri Loguinov	Dmitri Loguinov
11	28	Hsin-Tsang Lee	Hsin-Tsang Lee
11	28	Derek Leonard	Derek Leonard
11	28	Dmitri Loguinov	Dmitri Loguinov
12	13	Qiaoliang Li	Qiaoliang Li
12	13	Naixue Xiong	Naixue Xiong
12	13	Yi Pan	Yi Pan
12	14	Qiaoliang Li	Qiaoliang Li
12	14	Naixue Xiong	Naixue Xiong
12	14	Yi Pan	Yi Pan
12	20	Qiaoliang Li	Qiaoliang Li
13	14	Qiaoliang Li	Qiaoliang Li
13	14	Naixue Xiong	Naixue Xiong
13	14	Yi Pan	Yi Pan
13	20	Qiaoliang Li	Qiaoliang Li
14	20	Qiaoliang Li	Qiaoliang Li
21	22	Dmitri Loguinov	Dmitri Loguinov
21	23	Dmitri Loguinov	Dmitri Loguinov
21	24	Dmitri Loguinov	Dmitri Loguinov
21	27	Dmitri Loguinov	Dmitri Loguinov
21	28	Dmitri Loguinov	Dmitri Loguinov
22	23	Dmitri Loguinov	Dmitri Loguinov
22	24	Dmitri Loguinov	Dmitri Loguinov
22	27	Dmitri Loguinov	Dmitri Loguinov
22	28	Dmitri Loguinov	Dmitri Loguinov
23	24	Derek Leonard	Derek Leonard
23	24	Zhongmei Yao	Zhongmei Yao
23	24	Dmitri Loguinov	Dmitri Loguinov
23	27	Zhongmei Yao	Zhongmei Yao
23	27	Dmitri Loguinov	Dmitri Loguinov
23	28	Derek Leonard	Derek Leonard
23	28	Dmitri Loguinov	Dmitri Loguinov
24	27	Zhongmei Yao	Zhongmei Yao
24	27	Dmitri Loguinov	Dmitri Loguinov
24	28	Derek Leonard	Derek Leonard
24	28	Dmitri Loguinov	Dmitri Loguinov
27	28	Dmitri Loguinov	Dmitri Loguinov
