name,Prec,Rec,F1
Avg,0.8723222156392058,0.7992836992137909,0.8233329505806574
Li Shen,0.7294751009421265,0.7731811697574893,0.7506925207756233
Philip J. Smith,0.8193146417445483,0.7874251497005988,0.8030534351145039
Ji Zhang,0.7505376344086021,0.9640883977900553,0.8440145102781137
Yong Chen,0.8958333333333334,0.6128266033254157,0.7277856135401976
David Jensen,0.9583687340696686,0.9583687340696686,0.9583687340696686
Jianping Wang,0.8610354223433242,0.635814889336016,0.7314814814814813
Hui Fang,0.7960199004975125,0.6130268199233716,0.6926406926406926
Paul Wang,0.76,0.9047619047619048,0.8260869565217391
Jing Zhang,0.8763796909492274,0.43722466960352424,0.5833945628214549
R. Cole,0.7,0.34146341463414637,0.4590163934426229
Eric Martin,0.5453272663633182,0.9105786090005844,0.6821366024518388
Satoshi Kobayashi,0.8705179282868526,0.874,0.8722554890219562
Yoshio Tanaka,1.0,1.0,1.0
Barry Wilkinson,1.0,1.0,1.0
Lei Jin,1.0,1.0,1.0
Fan Wang,0.8394160583941606,0.8070175438596491,0.8228980322003578
Thomas Meyer,0.9290322580645162,0.7309644670050761,0.8181818181818182
Yan Tang,0.945054945054945,0.8113207547169812,0.8730964467005076
Xiaoyan Li,0.9223300970873787,0.9134615384615384,0.9178743961352658
Shu lin,0.9983967935871744,0.8976576576576577,0.9453510436432637
William H. Hsu,0.8825757575757576,0.937625754527163,0.909268292682927
Robert Schreiber,1.0,1.0,1.0
Manuel Silva,0.9687184661957619,0.9687184661957619,0.9687184661957619
Bing Liu,0.9513400209612217,0.6484335136238392,0.771210098312902
Jie Yu,0.9833333333333333,0.9888268156424581,0.9860724233983287
J. Guo,0.6666666666666666,0.6666666666666666,0.6666666666666666
Steve King,0.9096385542168675,0.668141592920354,0.7704081632653061
Daniel Massey,0.9959839357429718,0.8641114982578397,0.9253731343283581
Gang Chen,0.7420477137176938,0.46352064576218566,0.5706095929677049
